,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
41217,4,2.0,8,6047.0,30,0.0,0.0,1,1,3048,4
41420,4,3.0,10,6011.0,31,0.0,0.0,1,1,3054,4
41658,4,2.0,9,5985.0,30,0.0,0.0,1,1,2697,4
41699,4,2.0,9,5980.0,31,0.0,0.0,1,1,2941,4
41719,4,2.0,8,5977.0,30,0.0,0.0,1,1,4152,4
41818,4,2.0,12,5964.0,30,0.0,0.0,1,1,2999,4
41832,4,2.0,8,5962.0,30,0.0,0.0,1,1,4357,4
41841,4,2.0,10,5960.0,31,0.0,0.0,1,1,2707,4
41851,4,2.5,12,5958.0,31,0.0,0.0,1,1,2537,4
41964,4,2.0,12,5942.0,31,0.0,0.0,1,1,3629,4
41997,4,3.0,12,5938.0,31,0.0,0.0,1,1,3601,4
42015,4,3.0,11,5934.0,28,0.0,0.0,1,1,3954,4
42149,4,2.0,9,5913.0,28,0.0,0.0,1,1,4307,4
42217,4,3.0,10,5903.0,31,0.0,0.0,1,1,1922,4
42242,4,2.5,12,5900.0,30,0.0,0.0,1,1,2537,4
42330,4,2.5,12,5888.0,31,0.0,0.0,1,1,3246,4
42422,4,2.0,9,5875.0,30,0.0,0.0,1,1,3201,4
42448,4,2.0,10,5871.0,31,0.0,0.0,1,1,2597,4
42529,4,2.0,9,5859.0,31,0.0,0.0,1,1,4493,4
42614,4,2.0,9,5848.0,31,0.0,0.0,1,1,2697,4
42622,4,2.0,10,5847.0,30,0.0,0.0,1,1,4664,4
42663,4,3.0,11,5840.0,30,0.0,0.0,1,1,4948,4
42686,4,3.0,12,5836.0,31,0.0,0.0,1,1,3320,4
42775,4,2.0,10,5822.0,31,0.0,0.0,1,1,3103,4
42776,4,2.0,9,5822.0,28,0.0,0.0,1,1,3201,4
42791,4,3.0,11,5820.0,30,0.0,0.0,1,1,5145,4
42838,4,2.0,9,5812.0,30,0.0,0.0,1,1,2941,4
42848,4,2.0,9,5811.0,31,0.0,0.0,1,1,2697,4
42954,4,3.0,11,5796.0,31,0.0,0.0,1,1,5145,4
42963,4,3.0,10,5794.0,31,0.0,0.0,1,1,2719,4
43014,4,2.5,8,5789.0,31,0.0,0.0,1,1,2917,4
43077,4,2.0,8,5778.0,31,0.0,0.0,1,1,3048,4
43087,4,2.0,9,5777.0,31,0.0,0.0,1,1,1819,4
43106,4,3.0,11,5775.0,31,0.0,0.0,1,1,4690,4
43226,4,3.0,9,5757.0,30,0.0,0.0,1,1,4183,4
43239,4,2.0,9,5755.0,31,0.0,0.0,1,1,2941,4
